Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL,Task,Task Status,Task,Task Status,Task,Task Status
42851519,User can buy a car by searching,,1,24-Dec-13,31-Dec-13,release,,accepted,20-Jan-13,20-Jan-13,31-Dec-12,Ahmed El-Deeb,,,http://www.pivotaltracker.com/story/show/42851519,Create search UI,not completed,Create search results view,not completed,,
42851511,Seller should be registered in the portal,,1,24-Dec-13,31-Dec-13,release,,accepted,20-Jan-13,20-Jan-13,31-Dec-12,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851511,Create Seller table DB migration,completed,Create Seller Views,completed,Create Seller CRUD actions,completed
42851467,Portal should utilize Twitter Bootstrap UI framework,,1,24-Dec-13,31-Dec-13,release,,accepted,20-Jan-13,20-Jan-13,31-Dec-12,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851467,Get Twitter Bootstrap framework,not completed,Scaffold twitter bootstrap views,not completed,,
42851497,Seller should be able to sell car,,1,24-Dec-13,31-Dec-13,release,,accepted,20-Jan-13,20-Jan-13,31-Dec-12,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851497,Create DB migration for Car table,not completed,Create necessary views,not completed,Create CRUD actions for Cars,not completed
42851527,Cars should be associated to a given seller,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851527,Create Association between Seller and Cars,not completed,,,,
42851533,Seller should be authenticated using Facebook,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851533,Gem install Omniauth,not completed,Create authorization DB migration to enable multiple authentication providers,not completed,Create Session controller to manage authentication,not completed
42851543,Seller should be able to edit their profile after login,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851543,Create edit action,not completed,Create necessary view,not completed,,
42851549,Seller should be able to manage their sellings,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851549,Create add action,not completed,Create edit action,not completed,Create delete action,not completed
42851557,Seller should be able to logout,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Ahmed El-Deeb,,,http://www.pivotaltracker.com/story/show/42851557,Destroy session action,not completed,Create necessary view changes,not completed,,
42851565,Buyer should be able to compare cars together,,2,1-Jan-13,14-Jan-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851565,Create compare view,not completed,Modify necessary controller action,not completed,,
42851573,Buyer should be able to see all used cars offered for sale,,1,14-Jan-13,31-Dec-13,release,,accepted,20-Jan-13,20-Jan-13,14-Jan-13,Dr. Sameh El-Ansary,Ahmed El-Deeb,,http://www.pivotaltracker.com/story/show/42851573,Create necessary view,not completed,Create controller action,not completed,,
